RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes,Link_Gốc
5,Morico - Contemporary Japanese Lifestyle - Mplaza Saigon,10.7808820000000,106.7011180000000,"Tầng trệt Tòa nhà mPlaza Saigon, Số 39 Lê Duẩn, P. Bến Nghé, Quận 1, TP. HCM",,,,yes,yes,yes,70.000 -165.000,8.2,7.9,7.9,7.8,404,https://www.foody.vn/ho-chi-minh/morico-modern-japanese-restaurant-cafe-mplaza-saigon
5,Morico - Contemporary Japanese Lifestyle - Crescent Mall,10.7278570000000,106.7181740000000,"Tầng 2 Crescent Mall, 101 Tôn Dật Tiên, P. Tân Phú, Quận 7, TP. HCM",,,,yes,yes,yes,70.000 -165.000,8.2,7.9,8.0,7.8,392,https://www.foody.vn/ho-chi-minh/morico-modern-japanese-restaurant-cafe-crescent-mall
5,Morico - Contemporary Japanese Lifestyle - Somerset,10.7839575000000,106.6997422000000,"11 Mạc Đĩnh Chi, P. Bến Nghé, Quận 1, TP. HCM",,,,no,no,yes,70.000 -220.000,8.4,8.3,8.1,8.0,272,https://www.foody.vn/ho-chi-minh/morico-modern-japanese-restaurant-cafe-somerset
5,Morico - Contemporary Japanese Lifestyle - Diamond Island,10.7785681000000,106.7459079000000,"Tháp 4, Đảo Kim Cương, P. Bình Trưng Tây, Tp. Thủ Đức, TP. HCM",,,,yes,no,no,38.000 -588.000,0.0,0.0,6.2,5.5,5,https://www.foody.vn/ho-chi-minh/morico-contemporary-japanese-lifestyle-diamond-island
6,Partea - English Tearoom - Nguyễn Huệ,10.7739210000000,106.7043100000000,"Tầng 4, 42 Nguyễn Huệ, Quận 1, TP. HCM",,,,no,no,yes,50.000 -80.000,7.8,7.4,8.3,7.6,749,https://www.foody.vn/ho-chi-minh/partea-english-tearoom
6,Partea - English Tearoom - Nguyễn Thị Minh Khai,10.7741310000000,106.6899050000000,"240 Nguyễn Thị Minh Khai, P. 6, Quận 3, TP. HCM",,,,no,no,yes,50.000 -200.000,6.8,6.5,7.5,6.8,14,https://www.foody.vn/ho-chi-minh/partea-english-tearoom-nguyen-thi-minh-khai
6,Partea - English Tearoom - Nguyễn Huệ - Gian 2,10.7739210000000,106.7043100000000,"Tầng 4, 42 Nguyễn Huệ, Quận 1, TP. HCM",,,,no,no,yes,50.000 -200.000,7.0,6.9,6.9,6.9,43,https://www.foody.vn/ho-chi-minh/partea-english-tearoom-nguyen-hue-gian-2
7,Pizza 4P’s - Pizza Kiểu Nhật - Lê Thánh Tôn,10.7818780000000,106.7050550000000,"8/15 Lê Thánh Tôn, P. Bến Nghé, Quận 1, TP. HCM",,,,no,yes,yes,250.000 -500.000,8.5,8.0,8.1,7.9,"1,170",https://www.foody.vn/ho-chi-minh/pizza-4p-s-pizza-kieu-nhat-le-thanh-ton
7,Pizza 4P’s - Pizza Kiểu Nhật - Nguyễn Văn Linh,10.7314670000000,106.7156540000000,"Lô MD2, Nguyễn Văn Linh, P Tân Phú, Quận 7, TP. HCM",,,,no,yes,yes,200.000 -300.000,8.6,8.5,8.6,8.1,180,https://www.foody.vn/ho-chi-minh/pizza-4p-s-pizza-kieu-nhat-nguyen-van-linh
7,Pizza 4P's - Pizza Kiểu Nhật - Thủ Khoa Huân,10.7734580000000,106.6975160000000,"8 Thủ Khoa Huân, P. Bến Thành, Quận 1, TP. HCM",,,,no,yes,yes,150.000 -300.000,8.5,8.5,8.5,8.3,253,https://www.foody.vn/ho-chi-minh/pizza-4p-s-pizza-kieu-nhat-thu-khoa-huan
7,Pizza 4P's - Pizza Kiểu Nhật - Saigon Centre,10.7737260000000,106.7008770000000,"01 - 2 Lầu 6 Saigon Centre, 65 Lê Lợi, P. Bến Nghé, Quận 1, TP. HCM",,,,yes,no,yes,250.000 -400.000,8.8,8.2,8.6,8.4,122,https://www.foody.vn/ho-chi-minh/pizza-4p-s-pizza-kieu-nhat-saigon-centre
7,Pizza 4P's - Pizza Kiểu Nhật - Hai Bà Trưng,10.7833510000000,106.6971768000000,"151 Hai Bà Trưng, Quận 3, TP. HCM",,,,no,yes,yes,250.000 -400.000,8.4,8.3,8.5,8.1,163,https://www.foody.vn/ho-chi-minh/pizza-4p-s-pizza-kieu-nhat-hai-ba-trung
7,Pizza 4P’s - Pizza Kiểu Nhật - Võ Văn Kiệt,10.7549498359776,106.6877581087406,"608 Võ Văn Kiệt, P. Cầu Kho, Quận 1, TP. HCM",,,,no,no,yes,200.000 -500.000,9.2,9.0,8.8,8.8,34,https://www.foody.vn/ho-chi-minh/pizza-4p-s-pizza-kieu-nhat-vo-van-kiet
7,Pizza 4P's - Pizza Kiểu Nhật - Xuân Thủy,10.8026790000000,106.7307880000000,"48/1 Xuân Thủy, P. Thảo Điền, Quận 2, TP. HCM",,,,yes,no,yes,250.000 -500.000,9.2,8.7,8.8,8.7,45,https://www.foody.vn/ho-chi-minh/pizza-4p-s-pizza-kieu-nhat-xuan-thuy
7,Pizza 4P’S - Pizza Kiểu Nhật - Lê Đại Hành,10.7650671003810,106.6552624895146,"184 Lê Đại Hành, P. 15, Quận 11, TP. HCM",,,,no,yes,yes,200.000 -500.000,9.4,9.2,9.1,8.8,13,https://www.foody.vn/ho-chi-minh/pizza-4p-s-pizza-kieu-nhat-le-dai-hanh
